distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
992.5000,1.2055,576.1212,0.0395,0.1067,0.3242,377.1747,10.2088
993.7500,1.1572,330.4446,0.0548,0.1265,0.3902,362.2048,9.6396
995.0000,1.2029,212.4260,0.0605,0.1841,0.4521,352.4362,9.0457
996.2500,0.9702,157.6465,0.1031,0.1293,0.4994,334.3238,9.0164
997.5000,0.8532,179.4261,0.0576,0.1716,0.4783,332.1095,9.3937
998.7500,0.9384,190.4220,0.0559,0.1778,0.4689,337.8705,9.3189
1000.0000,0.9130,380.6039,0.0366,0.1330,0.3723,351.9788,10.3174
1001.2500,0.8634,278.2232,0.0460,0.1363,0.4132,342.5382,9.9939
1002.5000,0.9092,299.1814,0.0576,0.1085,0.4034,346.8115,9.9929
1003.7500,0.9982,345.5959,0.0475,0.1216,0.3844,355.0316,9.9962
1005.0000,1.0872,242.7800,0.0628,0.1428,0.4325,351.1581,9.3800
1006.2500,1.1254,118.2564,0.0784,0.2479,0.5496,331.2935,8.4542
1007.5000,0.9664,71.4077,0.0992,0.2843,0.6503,309.1406,8.0130
1008.7500,0.8838,269.5144,0.0506,0.1320,0.4177,343.0762,9.9034
1010.0000,0.8889,277.2263,0.0473,0.1345,0.4137,343.9825,9.9317
1011.2500,0.8914,190.8322,0.0568,0.1655,0.4686,335.5744,9.4072
1012.5000,0.9702,129.1905,0.0983,0.1608,0.5337,328.6260,8.7581
1013.7500,1.1495,161.8102,0.0750,0.1918,0.4951,342.2477,8.7965
1015.0000,1.1203,222.8020,0.0552,0.1845,0.4450,350.3512,9.2221
1016.2500,1.0364,170.8183,0.0582,0.2097,0.4862,339.3880,9.0190
1017.5000,1.0325,93.3412,0.0761,0.2843,0.5947,320.3641,8.2729
1018.7500,1.0033,83.6689,0.0869,0.2721,0.6168,315.7273,8.1704
1020.0000,1.0503,154.3844,0.0783,0.1729,0.5029,337.0390,8.8720
1021.2500,1.0643,442.7221,0.0467,0.1039,0.3540,364.0244,10.1768
1022.5000,0.9906,676.9388,0.0368,0.0795,0.3073,367.6321,10.8978
1023.7500,0.9969,370.1486,0.0433,0.1235,0.3757,356.4350,10.0891
1025.0000,1.0542,438.4449,0.0400,0.1194,0.3551,363.2498,10.1860
1026.2500,1.0376,474.6252,0.0402,0.1088,0.3459,363.9260,10.3232
1027.5000,1.0402,401.4931,0.0373,0.1396,0.3657,360.6077,10.1031
1028.7500,1.1063,833.1768,0.0306,0.0874,0.2867,378.5846,10.8654
1030.0000,1.0987,482.5706,0.0411,0.1116,0.3439,367.7342,10.2126
1031.2500,1.0275,298.8634,0.0467,0.1468,0.4035,353.3412,9.7488
1032.5000,0.9651,340.1471,0.0410,0.1376,0.3865,352.8107,10.0453
1033.7500,0.9906,154.2987,0.0587,0.2181,0.5030,334.5894,8.9576
1035.0000,1.0211,186.2006,0.0509,0.2168,0.4724,341.1180,9.1519
1036.2500,0.9740,451.1307,0.0348,0.1251,0.3518,359.1116,10.4026
1037.5000,0.8914,196.6757,0.0525,0.1718,0.4639,336.3058,9.4489
1038.7500,0.8558,207.5783,0.0505,0.1633,0.4556,335.6691,9.5945
1040.0000,0.9105,300.3514,0.0471,0.1293,0.4028,346.9696,9.9955
1041.2500,0.9397,160.2447,0.0562,0.2124,0.4967,333.4233,9.0863
1042.5000,0.8710,241.5898,0.0470,0.1579,0.4332,339.9480,9.7771
1043.7500,0.8405,632.0107,0.0300,0.0886,0.3144,355.8554,11.2370
1045.0000,0.8927,319.4251,0.0417,0.1335,0.3947,347.1881,10.1215
1046.2500,0.9995,155.8374,0.0717,0.1853,0.5013,335.2431,8.9571
1047.5000,1.2373,135.3362,0.0933,0.2000,0.5255,339.4262,8.4867
1048.7500,1.4967,238.6654,0.0696,0.1782,0.4349,366.6236,8.8111
1050.0000,1.6849,270.7165,0.0788,0.1611,0.4170,376.6908,8.7353
1051.2500,1.9354,441.2800,0.0590,0.1480,0.3544,399.5583,8.9178
1052.5000,2.1249,963.0750,0.0533,0.0831,0.2732,426.3266,9.3395
1053.7500,2.4199,383.0054,0.0689,0.1851,0.3715,408.1144,8.3879
1055.0000,2.4707,449.4959,0.0566,0.1981,0.3522,414.7057,8.4625
1056.2500,2.5597,193.8799,0.0860,0.3166,0.4661,384.4831,7.8225
1057.5000,2.6437,211.9078,0.0770,0.3318,0.4525,389.8838,7.8374
1058.7500,2.4809,651.2882,0.0365,0.2110,0.3112,426.4189,8.7099
1060.0000,2.5267,1129.0149,0.0323,0.1399,0.2591,442.3219,9.0338
1061.2500,2.5699,252.2616,0.0791,0.2518,0.4270,395.7979,7.9967
1062.5000,2.2724,135.5080,0.0839,0.4033,0.5252,363.0794,7.7193
1063.7500,2.0562,332.6327,0.0581,0.2173,0.3894,394.1560,8.5703
1065.0000,2.0409,210.8174,0.0665,0.2961,0.4533,377.3544,8.2098
1066.2500,2.3207,215.9455,0.0666,0.3154,0.4497,384.4466,8.0388
1067.5000,2.3258,464.2664,0.0468,0.2156,0.3484,412.1174,8.6005
1068.7500,2.1210,260.7854,0.0635,0.2572,0.4223,387.2848,8.3221
1070.0000,2.0765,347.3447,0.0521,0.2319,0.3838,396.1419,8.5878
1071.2500,2.2635,460.3675,0.0456,0.2166,0.3494,410.2172,8.6466
1072.5000,2.2011,293.4177,0.0652,0.2300,0.4060,393.5083,8.3539
1073.7500,1.8947,134.0032,0.1032,0.2714,0.5272,355.5356,7.9311
1075.0000,1.5539,312.6397,0.0483,0.2128,0.3975,376.8520,9.0175
1076.2500,1.6925,258.8511,0.0764,0.1782,0.4233,375.4585,8.6856
1077.5000,1.8502,270.8538,0.0644,0.2119,0.4170,381.5699,8.5778
1078.7500,1.6836,470.5364,0.0449,0.1593,0.3469,393.0088,9.2560
1080.0000,1.6353,324.6669,0.0501,0.2034,0.3925,380.7655,8.9609
1081.2500,1.6162,292.8127,0.0562,0.2006,0.4063,376.9853,8.8825
1082.5000,1.7268,321.6773,0.0598,0.1805,0.3937,383.4709,8.8531
1083.7500,1.8476,356.0138,0.0531,0.1984,0.3806,390.3722,8.8210
1085.0000,1.8298,469.2753,0.0441,0.1781,0.3472,397.9682,9.0829
1086.2500,1.9112,620.6419,0.0466,0.1299,0.3163,408.2711,9.2320
1087.5000,1.9201,264.7218,0.0585,0.2420,0.4202,382.7021,8.4963
1088.7500,1.7472,346.0362,0.0477,0.2114,0.3843,386.3608,8.8988
1090.0000,1.7866,166.6462,0.0742,0.2932,0.4902,362.1466,8.1987
1091.2500,1.8553,154.0072,0.0807,0.2979,0.5033,360.5737,8.0781
1092.5000,1.9850,286.7393,0.0597,0.2275,0.4091,387.2088,8.5086
1093.7500,1.9773,494.8372,0.0553,0.1429,0.3411,404.1882,8.9709
1095.0000,2.0193,338.7819,0.0703,0.1677,0.3870,393.7598,8.6174
1096.2500,2.0651,536.5160,0.0461,0.1677,0.3320,409.1818,8.9479
1097.5000,1.9939,379.1904,0.0456,0.2316,0.3727,396.6727,8.7337
1098.7500,2.0180,482.6381,0.0433,0.1925,0.3439,404.7070,8.9092
1100.0000,1.8896,208.3673,0.0938,0.1841,0.4551,373.2538,8.3151
1101.2500,1.6671,113.6561,0.0941,0.3134,0.5569,343.6971,7.9372
1102.5000,1.8464,267.9165,0.0634,0.2173,0.4185,381.0918,8.5716
