# Exported by snowmicropyn 1.2.1 (git hash 25c665906cd9d26085fa9eab6ba842a7f4b41101)
distance [mm],force [N]
4.8636,0.0534
4.8678,0.0521
4.8719,0.0509
4.8760,0.0560
4.8802,0.0483
4.8843,0.0521
4.8884,0.0534
4.8926,0.0547
4.8967,0.0572
4.9008,0.0598
4.9050,0.0585
4.9091,0.0560
4.9132,0.0572
4.9174,0.0547
4.9215,0.0521
4.9256,0.0534
4.9298,0.0483
4.9339,0.0534
4.9380,0.0560
4.9421,0.0547
4.9463,0.0560
4.9504,0.0585
4.9545,0.0560
4.9587,0.0560
4.9628,0.0560
4.9669,0.0585
4.9711,0.0547
4.9752,0.0534
4.9793,0.0560
4.9835,0.0534
4.9876,0.0521
4.9917,0.0496
4.9959,0.0509
5.0000,0.0534
5.0041,0.0572
5.0083,0.0560
5.0124,0.0560
5.0165,0.0560
5.0207,0.0547
5.0248,0.0560
5.0289,0.0547
5.0331,0.0547
5.0372,0.0521
5.0413,0.0572
5.0455,0.0534
5.0496,0.0534
5.0537,0.0547
5.0579,0.0509
5.0620,0.0572
5.0661,0.0534
5.0702,0.0547
5.0744,0.0572
5.0785,0.0572
5.0826,0.0560
5.0868,0.0547
5.0909,0.0572
5.0950,0.0547
5.0992,0.0521
5.1033,0.0560
5.1074,0.0547
5.1116,0.0560
5.1157,0.0560
5.1198,0.0547
5.1240,0.0560
5.1281,0.0547
5.1322,0.0572
5.1364,0.0547
5.1405,0.0585
5.1446,0.0534
5.1488,0.0547
5.1529,0.0534
5.1570,0.0509
5.1612,0.0547
5.1653,0.0547
5.1694,0.0534
5.1736,0.0521
5.1777,0.0560
5.1818,0.0534
5.1860,0.0547
5.1901,0.0547
5.1942,0.0509
5.1983,0.0521
5.2025,0.0560
5.2066,0.0572
5.2107,0.0572
5.2149,0.0585
5.2190,0.0560
5.2231,0.0572
5.2273,0.0560
5.2314,0.0560
5.2355,0.0572
5.2397,0.0509
5.2438,0.0585
5.2479,0.0560
5.2521,0.0572
5.2562,0.0585
5.2603,0.0521
5.2645,0.0547
5.2686,0.0547
5.2727,0.0534
5.2769,0.0560
5.2810,0.0547
5.2851,0.0547
5.2893,0.0585
5.2934,0.0560
5.2975,0.0560
5.3017,0.0509
5.3058,0.0560
5.3099,0.0560
5.3140,0.0560
