# Exported by snowmicropyn 1.2.1 (git hash 25c665906cd9d26085fa9eab6ba842a7f4b41101)
distance [mm],force [N]
4.5992,0.1091
4.6033,0.1118
4.6074,0.1118
4.6116,0.1118
4.6157,0.1118
4.6198,0.1118
4.6240,0.1091
4.6281,0.1078
4.6322,0.1131
4.6364,0.1131
4.6405,0.1091
4.6446,0.1105
4.6488,0.1118
4.6529,0.1105
4.6570,0.1118
4.6612,0.1091
4.6653,0.1051
4.6694,0.1091
4.6736,0.1118
4.6777,0.1037
4.6818,0.1091
4.6860,0.1078
4.6901,0.1091
4.6942,0.1118
4.6983,0.1091
4.7025,0.1078
4.7066,0.1118
4.7107,0.1118
4.7149,0.1078
4.7190,0.1118
4.7231,0.1105
4.7273,0.1091
4.7314,0.1145
4.7355,0.1091
4.7397,0.1091
4.7438,0.1118
4.7479,0.1105
4.7521,0.1078
4.7562,0.1105
4.7603,0.1091
4.7645,0.1078
4.7686,0.1118
4.7727,0.1118
4.7769,0.1091
4.7810,0.1091
4.7851,0.1118
4.7893,0.1091
4.7934,0.1158
4.7975,0.1105
4.8017,0.1118
4.8058,0.1105
4.8099,0.1118
4.8140,0.1118
4.8182,0.1131
4.8223,0.1118
4.8264,0.1105
4.8306,0.1118
4.8347,0.1078
4.8388,0.1145
4.8430,0.1118
4.8471,0.1105
4.8512,0.1064
4.8554,0.1091
4.8595,0.1105
4.8636,0.1118
4.8678,0.1131
4.8719,0.1078
4.8760,0.1105
4.8802,0.1118
4.8843,0.1091
4.8884,0.1131
4.8926,0.1105
4.8967,0.1078
4.9008,0.1091
4.9050,0.1131
4.9091,0.1118
4.9132,0.1131
4.9174,0.1118
4.9215,0.1118
4.9256,0.1145
4.9298,0.1118
4.9339,0.1105
4.9380,0.1118
4.9421,0.1091
4.9463,0.1105
4.9504,0.1091
4.9545,0.1105
4.9587,0.1078
4.9628,0.1118
4.9669,0.1091
4.9711,0.1091
4.9752,0.1118
4.9793,0.1091
4.9835,0.1118
4.9876,0.1091
4.9917,0.1105
4.9959,0.1064
5.0000,0.1105
5.0041,0.1105
5.0083,0.1091
5.0124,0.1105
5.0165,0.1064
5.0207,0.1118
5.0248,0.1118
5.0289,0.1064
5.0331,0.1091
5.0372,0.1091
5.0413,0.1131
5.0455,0.1105
5.0496,0.1105
5.0537,0.1131
5.0579,0.1078
5.0620,0.1105
5.0661,0.1131
5.0702,0.1118
5.0744,0.1105
5.0785,0.1078
5.0826,0.1078
5.0868,0.1118
5.0909,0.1118
5.0950,0.1078
5.0992,0.1091
5.1033,0.1078
5.1074,0.1105
5.1116,0.1105
5.1157,0.1078
5.1198,0.1091
5.1240,0.1118
5.1281,0.1091
5.1322,0.1118
5.1364,0.1118
5.1405,0.1078
5.1446,0.1131
5.1488,0.1105
5.1529,0.1105
5.1570,0.1105
5.1612,0.1091
5.1653,0.1105
5.1694,0.1105
5.1736,0.1118
5.1777,0.1091
5.1818,0.1105
5.1860,0.1091
5.1901,0.1091
5.1942,0.1118
5.1983,0.1118
5.2025,0.1091
5.2066,0.1105
5.2107,0.1118
5.2149,0.1105
5.2190,0.1118
5.2231,0.1105
5.2273,0.1091
5.2314,0.1131
5.2355,0.1131
5.2397,0.1105
5.2438,0.1118
5.2479,0.1118
5.2521,0.1105
5.2562,0.1105
5.2603,0.1091
5.2645,0.1118
5.2686,0.1118
5.2727,0.1091
5.2769,0.1091
5.2810,0.1091
5.2851,0.1118
5.2893,0.1118
5.2934,0.1105
5.2975,0.1105
5.3017,0.1118
5.3058,0.1118
5.3099,0.1118
5.3140,0.1091
5.3182,0.1091
5.3223,0.1105
5.3264,0.1091
5.3306,0.1105
5.3347,0.1105
5.3388,0.1105
5.3430,0.1091
5.3471,0.1118
5.3512,0.1118
5.3554,0.1105
5.3595,0.1118
5.3636,0.1118
5.3678,0.1105
5.3719,0.1131
5.3760,0.1091
5.3802,0.1118
5.3843,0.1118
5.3884,0.1091
5.3926,0.1091
5.3967,0.1091
5.4008,0.1105
5.4050,0.1091
5.4091,0.1118
5.4132,0.1105
5.4174,0.1105
5.4215,0.1091
5.4256,0.1091
5.4298,0.1105
5.4339,0.1091
5.4380,0.1118
5.4421,0.1118
5.4463,0.1091
5.4504,0.1091
5.4545,0.1118
5.4587,0.1118
5.4628,0.1118
5.4669,0.1091
5.4711,0.1105
5.4752,0.1105
5.4793,0.1078
5.4835,0.1131
5.4876,0.1078
5.4917,0.1078
5.4959,0.1064
5.5000,0.1078
5.5041,0.1105
5.5083,0.1091
5.5124,0.1064
5.5165,0.1091
5.5207,0.1091
5.5248,0.1091
5.5289,0.1105
5.5331,0.1078
5.5372,0.1078
5.5413,0.1118
5.5455,0.1118
5.5496,0.1078
5.5537,0.1105
5.5579,0.1078
5.5620,0.1091
5.5661,0.1105
5.5702,0.1091
5.5744,0.1105
5.5785,0.1105
5.5826,0.1105
5.5868,0.1105
5.5909,0.1118
5.5950,0.1118
5.5992,0.1091
5.6033,0.1118
5.6074,0.1105
5.6116,0.1118
5.6157,0.1105
5.6198,0.1091
5.6240,0.1131
5.6281,0.1105
5.6322,0.1091
5.6364,0.1091
5.6405,0.1105
5.6446,0.1105
5.6488,0.1118
